Reference,Author Year,Polymer,Alternate Polymer Names,End Groups,Solvents,Solvent Ratio (wt%),Solvent Ratio (vol%),Stationary Phase,Manufacturer,Base Material,Base Material Modification,Phase,Particle diameter (μm),Pore size (Å),Temperature (Celsius),Flow Rate (mL/min),Injected Polymer Concentration (g/L),Detector,Reference (Raw),Paper DOI,Corresponding Author Name,Corresponding Email Address,Physical Address,Publication Year (Raw),Critical Condition Basis,Critical Condition Confidence,Model Confidences,Qwen Confidence,Mistral Confidence,Analyte Polymer (Raw),Analyte Polymer (Standardized),Critical Component (Raw),Critical Component (Standardized),Architecture (Raw),Architecture (Standardized),Polymer (Raw),Alternate Polymer Names (Parsed from Raw),Polymer Parsing,End Groups (Raw),End Groups (Parsed),Solvents (Raw),Solvents (Standardized),Solvent Qualifiers (Standardized),Solvent Count (Standardized),Solvent Ratio (Raw),Solvent Ratio Units (Raw),Solvent Ratio Components (Standardized),Solvent Ratio Units (Standardized),Solvent Ratio Minimum (Standardized),Solvent Ratio Maximum (Standardized),Stationary Phase (Raw),Manufacturer (Raw),Base Material Source (Raw),Base Material Modification (Raw),Column Name (Raw),Column Mode (Raw),Column Mode (Standardized),Column Dimensions (Raw),Pore Size (Raw),Pore Size (Standardized),Temperature (Raw),Temperature (Standardized),Flow Rate (Raw),Flow Rate (Standardized),Injected Polymer Concentration (Raw),Detector (Raw),Aqueous Parameters (Raw),Aqueous Parameters (Standardized),Evidence Text,Notes
289,2015,PIB-diol,,,"Tetrahydrofuran, Methanol","80.5, 19.5",,reversed phase C18,,Silica,,Reverse,,120,35,0.5,,RI detector (Waters 2414),[289] Banerjee2015.pdf,10.1016/j.chroma.2014.12.022,Rudolf Faust,Rudolf.Faust@uml.edu,"Polymer Science Program, Department of Chemistry, University of Massachusetts Lowell, One University Avenue, Lowell, Massachusetts 01854, USA",2015,elution independent of MW for identical chemical functionality,explicit,"{""qwen"": ""missed"", ""mistral"": ""explicit""}",missed,explicit,PIB-diol,PIB-diol,PIB backbone,PIB backbone,linear,linear,PIB-diol,,linear,,,"[""THF"", ""methanol""]","[""Tetrahydrofuran"", ""Methanol""]","[null, null]",2,80.5/19.5,w/w,"[80.5, 19.5]",w/w,,,reversed phase C18,,reversed phase C18,,YMC HPLC COLUMN,,,4.6 mm × 250 mm,120 A,120,35,35,0.5 mL/min,0.5,,RI detector (Waters 2414),"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical solvent composition for PIB was established as THF/methanol 80.5/19.5 (w/w). ... According to Fig. 6 in THF/methanol 80.5/19.5 (w/w) PIB samples with identical chemical functionality eluted at the same position, independently of their MW.",Used for determination of critical conditions.
289,2015,PIB-monool,,,"Tetrahydrofuran, Methanol","80.5, 19.5",,reversed phase C18,,Silica,,Reverse,,120,35,0.5,,RI detector (Waters 2414),[289] Banerjee2015.pdf,10.1016/j.chroma.2014.12.022,Rudolf Faust,Rudolf.Faust@uml.edu,"Polymer Science Program, Department of Chemistry, University of Massachusetts Lowell, One University Avenue, Lowell, Massachusetts 01854, USA",2015,elution independent of MW for identical chemical functionality,explicit,"{""qwen"": ""missed"", ""mistral"": ""explicit""}",missed,explicit,PIB-monool,PIB-monool,PIB backbone,PIB backbone,linear,linear,PIB-monool,,linear,,,"[""THF"", ""methanol""]","[""Tetrahydrofuran"", ""Methanol""]","[null, null]",2,80.5/19.5,w/w,"[80.5, 19.5]",w/w,,,reversed phase C18,,reversed phase C18,,YMC HPLC COLUMN,,,4.6 mm × 250 mm,120 A,120,35,35,0.5 mL/min,0.5,,RI detector (Waters 2414),"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical solvent composition for PIB was established as THF/methanol 80.5/19.5 (w/w). ... According to Fig. 6 in THF/methanol 80.5/19.5 (w/w) PIB samples with identical chemical functionality eluted at the same position, independently of their MW.",Used for determination of critical conditions.
289,2015,PIB-diallyl,,,"Tetrahydrofuran, Methanol","80.5, 19.5",,reversed phase C18,,Silica,,Reverse,,120,35,0.5,,RI detector (Waters 2414),[289] Banerjee2015.pdf,10.1016/j.chroma.2014.12.022,Rudolf Faust,Rudolf.Faust@uml.edu,"Polymer Science Program, Department of Chemistry, University of Massachusetts Lowell, One University Avenue, Lowell, Massachusetts 01854, USA",2015,elution independent of MW for identical chemical functionality,explicit,"{""qwen"": ""missed"", ""mistral"": ""explicit""}",missed,explicit,PIB-diallyl,PIB-diallyl,PIB backbone,PIB backbone,linear,linear,PIB-diallyl,,linear,,,"[""THF"", ""methanol""]","[""Tetrahydrofuran"", ""Methanol""]","[null, null]",2,80.5/19.5,w/w,"[80.5, 19.5]",w/w,,,reversed phase C18,,reversed phase C18,,YMC HPLC COLUMN,,,4.6 mm × 250 mm,120 A,120,35,35,0.5 mL/min,0.5,,RI detector (Waters 2414),"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical solvent composition for PIB was established as THF/methanol 80.5/19.5 (w/w). ... According to Fig. 6 in THF/methanol 80.5/19.5 (w/w) PIB samples with identical chemical functionality eluted at the same position, independently of their MW.",Used for determination of critical conditions.
289,2015,PIB-dichloride,,,"Tetrahydrofuran, Methanol","80.5, 19.5",,reversed phase C18,,Silica,,Reverse,,120,35,0.5,,RI detector (Waters 2414),[289] Banerjee2015.pdf,10.1016/j.chroma.2014.12.022,Rudolf Faust,Rudolf.Faust@uml.edu,"Polymer Science Program, Department of Chemistry, University of Massachusetts Lowell, One University Avenue, Lowell, Massachusetts 01854, USA",2015,elution independent of MW for identical chemical functionality,explicit,"{""qwen"": ""missed"", ""mistral"": ""explicit""}",missed,explicit,PIB-dichloride,PIB-dichloride,PIB backbone,PIB backbone,linear,linear,PIB-dichloride,,linear,,,"[""THF"", ""methanol""]","[""Tetrahydrofuran"", ""Methanol""]","[null, null]",2,80.5/19.5,w/w,"[80.5, 19.5]",w/w,,,reversed phase C18,,reversed phase C18,,YMC HPLC COLUMN,,,4.6 mm × 250 mm,120 A,120,35,35,0.5 mL/min,0.5,,RI detector (Waters 2414),"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical solvent composition for PIB was established as THF/methanol 80.5/19.5 (w/w). ... According to Fig. 6 in THF/methanol 80.5/19.5 (w/w) PIB samples with identical chemical functionality eluted at the same position, independently of their MW.",Used for determination of critical conditions.
47,1993,Poly(methyl methacrylate),,,"Methyl Ethyl Ketone, Cyclohexane",,"73, 27",silica gel,,Silica,,,,100,,0.5,,differential RI detector,[47] Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,critical point of adsorption for PMMA block,explicit,"{""qwen"": ""explicit"", ""mistral"": ""explicit""}",explicit,explicit,poly(styrene-b-methyl methacrylate),poly(styrene-b-methyl methacrylate),poly(methyl methacrylate),Poly(methyl methacrylate),block copolymer,block copolymer,poly(styrene-b-methyl methacrylate),,block,,,"[""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,73:27:00,vol%,"[73.0, 27.0]",v/v,,,silica gel,,silica gel,,Nucleosil Si-100,,,200 x 4 mm,100 A,100,,,0.5 ml min^-1,0.5,,differential RI detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical point of PMMA is obtained at a composition of 73 vol% MEK/27 vol% cyclohexane... Figure 3. Chromatograms of the block copolymers... at the critical point of PMMA; Nucleosil Si-100, MEK-cyclohexane 73:27 vol%.",Used to analyze the polystyrene block while PMMA is at critical condition (invisible).
47,1993,Poly(methyl methacrylate),,,"Methyl Ethyl Ketone, Cyclohexane",,"70, 30",silica gel,,Silica,,,,"300.0, 1000.0",,0.5,,RI and UV (280 nm),[47] Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,critical point of adsorption for PMMA block,explicit,"{""qwen"": ""explicit"", ""mistral"": ""explicit""}",explicit,explicit,poly(styrene-b-methyl methacrylate),poly(styrene-b-methyl methacrylate),poly(methyl methacrylate),Poly(methyl methacrylate),block copolymer,block copolymer,poly(styrene-b-methyl methacrylate),,block,,,"[""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,70:30:00,vol%,"[70.0, 30.0]",v/v,,,silica gel,,silica gel,,Merck LiChrospher Si-300 and Si-1000,,,self-packed,300 A and 1000 A,"300.0, 1000.0",,,0.5 ml min^-1,0.5,,RI and UV (280 nm),"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","As can be seen in Figure 4, the critical point for PMMA is obtained at a mobile phase composition of 70 vol% MEK/30 vol% cyclohexane... Figure 5 Chromatograms of the block copolymers... at the critical point of PMMA; LiChrospher Si-300 and Si-1000, MEK-cyclohexane 70:30 vol%.",Used for higher molar mass samples where Si-100 was near exclusion limit. UV detection at 280 nm used for selective PS detection.
84,2000,Polystyrene,,,"Dichloromethane, Acetonitrile",,"57, 43",C18 bonded silica,,Silica,,Reverse,,100,43,0.5,,,[84] Lee2000.pdf,10.1021/ma000807b,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Center for Integrated Molecular Systems, Pohang University of Science and Technology, Pohang, 790-784, Korea",2000,Chromatographic critical condition of linear PS,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,Cyclic Polystyrene,Polystyrene,Linear Polystyrene,Polystyrene,Linear,linear,Cyclic Polystyrene,,linear,,,"[""CH2Cl2"", ""CH3CN""]","[""Dichloromethane"", ""Acetonitrile""]","[null, null]",2,57/43,v/v,"[57.0, 43.0]",v/v,,,C18 bonded silica,,C18 bonded silica,,Nucleosil C18AB,,,250 x 4.6 mm,100 Å,100,43,43,0.5 mL/min,0.5,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","For LCCC system, a single C18 bonded silica column (Nucleosil C18AB, 100 Å pore, 250 × 4.6 mm) was used. In LCCC experiments, the column was put in a jacket connected with a bath/circulator so that the column temperature was kept constant at 43 °C. The mobile phase was a mixture of CH2Cl2/CH3CN (57/43, v/v), and the flow rate was 0.5 mL/min.",The critical condition was established for linear PS (elution independent of MW at ~5.4 min) to separate cyclic PS contaminants.
217,2016,Polystyrene,,,"Tetrahydrofuran, Hexane",,"42, 58",C18 bonded silica,,Silica,,Reverse,,50,43,0.5,,,[217] Gao2016.pdf,10.1016/j.polymer.2016.08.086,Yingfeng Tu,tuyingfeng@suda.edu.cn,"Suzhou Key Laboratory of Macromolecular Design and Precision Synthesis, Jiangsu Key Laboratory of Advanced Functional Polymer Design and Application, State and Local Joint Engineering Laboratory for Novel Functional Polymeric Materials, College of Chemistry, Chemical Engineering and Materials Science, Soochow University, Suzhou 215123, China",2016,Liquid chromatography at critical condition (LCCC) used to characterize purity of cyclic polymers contaminated with linear precursors,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,cyclic polystyrene (c-PS),Polystyrene,polystyrene,Polystyrene,cyclic,cyclic,cyclic polystyrene (c-PS),c-PS,cyclic,,,"[""THF"", ""n-hexane""]","[""Tetrahydrofuran"", ""Hexane""]","[null, null]",2,42/58,v/v,"[42.0, 58.0]",v/v,,,C18 bonded silica,,C18 bonded silica,,Nucleosil bare silica,,,"250 x 4.6 mm, 5 mm bead size",50 Å,50,43,43,0.5 mL/min,0.5,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","Liquid chromatography at critical condition (LCCC) was conducted with a single C18 bonded silica column (Nucleosil bare silica, 50 Å pore, 250 x 4.6 mm, 5 mm bead size), following the procedures as reported [29,48e50]. The mobile phase was a mixture of THF/n-hexane (42/58, v/v), and the flow rate was 0.5 mL/ min at 43 ° C.",The text states the mobile phase ratio (42/58 v/v THF/n-hexane) was used for LCCC analysis of cyclic PS to detect linear contamination. The column is described as C18 bonded silica on bare silica support.
232,2009,Poly(ethylene glycol),PEG,OH,"Acetone, Water","78, 22",,Silica-based diol phase,,Silica,,,,100,25,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD",[232] Malik2009.pdf,10.1007/s00216-008-2590-y,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl Franzens University, 8010 Graz, Austria",2009,Critical adsorption point (CAP) for EO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,PEG,Poly(ethylene glycol),Ethylene oxide (EO),Ethylene oxide (EO),Linear,linear,PEG,EO,linear,,OH,"[""Acetone"", ""Water""]","[""Acetone"", ""Water""]","[null, null]",2,78,wt%,"[78.0, 22.0]",w/w,,,Silica-based diol phase,,Silica-based diol phase,,Nucleosil 100-5 OH,,,250 mm x 4.6 mm,100 Å,100,25,25,0.5 ml/min,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",At the CAP for PEG on a normal-phase column (Nucleosil 100-5 OH in 78 wt% acetone)... Fig. 1 Elution of poly(ethylene glycol) (PEG)... at the critical adsorption point (CAP) for ethylene oxide (EO),"Used to analyze PPG, PCL, and block copolymers where EO is critical."
232,2009,Poly(propylene glycol),PPG,,"Tetrahydrofuran, Water","84.5, 15.5",,100% polydivinylbenzene,,,,,,500,25,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD",[232] Malik2009.pdf,10.1007/s00216-008-2590-y,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl Franzens University, 8010 Graz, Austria",2009,Critical adsorption point (CAP) for PO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,PPG,Poly(propylene glycol),Propylene oxide (PO),Propylene oxide (PO),Linear,linear,PPG,PO,linear,,,"[""Tetrahydrofuran (THF)"", ""Water""]","[""Tetrahydrofuran"", ""Water""]","[null, null]",2,84.5,wt%,"[84.5, 15.5]",w/w,,,100% polydivinylbenzene,,100% polydivinylbenzene,,Jordi Gel DVB 500 RP,,,250 mm x 4.6 mm,500 Å,500,25,25,0.5 ml/min,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","Critical conditions for PO... can be realized on the Jordi column in 90 wt% acetone... but also in THF–water. For PBO, a CAP exists on the Jordi column in 84.5 wt% THF (Fig. 4)... Fig. 4 Critical conditions for PPG on the Jordi RP column in tetrahydrofuran (THF)–water","Text mentions 84.5 wt% THF for PBO CAP on Jordi, but Fig 4 caption and text context link this to PPG/PO critical conditions on Jordi in THF-water. The text explicitly states 'Critical conditions for PO... on the Jordi column... in THF-water'."
232,2009,Poly(butylene oxide),PBO,,"Tetrahydrofuran, Water","84.5, 15.5",,100% polydivinylbenzene,,,,,,500,25,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD",[232] Malik2009.pdf,10.1007/s00216-008-2590-y,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl Franzens University, 8010 Graz, Austria",2009,Critical adsorption point (CAP) for BO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,PBO,Poly(butylene oxide),Butene oxide (BO),Butene oxide (BO),Linear,linear,PBO,BO,linear,,,"[""Tetrahydrofuran (THF)"", ""Water""]","[""Tetrahydrofuran"", ""Water""]","[null, null]",2,84.5,wt%,"[84.5, 15.5]",w/w,,,100% polydivinylbenzene,,100% polydivinylbenzene,,Jordi Gel DVB 500 RP,,,250 mm x 4.6 mm,500 Å,500,25,25,0.5 ml/min,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","For PBO, a CAP exists on the Jordi column in 84.5 wt% THF (Fig. 4)",Used to analyze EO-BO block copolymers.
232,2009,Poly(butylene oxide),PBO,,"Tetrahydrofuran, Water","90, 10",,Silica-based octadecyl phase,,Silica,,Reverse,,100,25,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD",[232] Malik2009.pdf,10.1007/s00216-008-2590-y,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl Franzens University, 8010 Graz, Austria",2009,Critical adsorption point (CAP) for BO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,PBO,Poly(butylene oxide),Butene oxide (BO),Butene oxide (BO),Linear,linear,PBO,BO,linear,,,"[""Tetrahydrofuran (THF)"", ""Water""]","[""Tetrahydrofuran"", ""Water""]","[null, null]",2,90,wt%,"[90.0, 10.0]",w/w,,,Silica-based octadecyl phase,,Silica-based octadecyl phase,,Prodigy ODS3,,,250 mm x 4.6 mm,100 Å,100,25,25,0.5 ml/min,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",For PBO... on the Prodigy column in above 90 wt% THF (Fig. 5). It is interesting to note that at very high THF concentrations PBO no longer goes in the exclusion regime but is more or less critical (from 88 to 95 wt% THF),"Text indicates critical behavior in range 88-95 wt% THF, with 90 wt% being the lower bound mentioned for 'above 90'."
232,2009,Poly(hexylene oxide),PHO,,"Tetrahydrofuran, Water","87, 13",,100% polydivinylbenzene,,,,,,500,25,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD",[232] Malik2009.pdf,10.1007/s00216-008-2590-y,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl Franzens University, 8010 Graz, Austria",2009,Critical adsorption point (CAP) for HO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,PHO,Poly(hexylene oxide),Hexene oxide (HO),Hexene oxide (HO),Linear,linear,PHO,HO,linear,,,"[""Tetrahydrofuran (THF)"", ""Water""]","[""Tetrahydrofuran"", ""Water""]","[null, null]",2,87,wt%,"[87.0, 13.0]",w/w,,,100% polydivinylbenzene,,100% polydivinylbenzene,,Jordi Gel DVB 500 RP,,,250 mm x 4.6 mm,500 Å,500,25,25,0.5 ml/min,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","For PHO, a CAP is observed on the Jordi column at 87 wt% THF, as can be seen in Fig. 6. In such a mobile phase various PHOs with different degrees of polymerization are eluted at the same volume.",Used to analyze EO-HO block copolymers.
232,2009,Poly(propylene glycol),PPG,,"Methanol, Water","90, 10",,Silica-based phenyl phase,,Silica,,,,80,25,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD",[232] Malik2009.pdf,10.1007/s00216-008-2590-y,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl Franzens University, 8010 Graz, Austria",2009,Critical adsorption point (CAP) for PO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,PPG,Poly(propylene glycol),Propylene oxide (PO),Propylene oxide (PO),Linear,linear,PPG,PO,linear,,,"[""Methanol"", ""Water""]","[""Methanol"", ""Water""]","[null, null]",2,90,wt%,"[90.0, 10.0]",w/w,,,Silica-based phenyl phase,,Silica-based phenyl phase,,Spherisorb S5P,,,250 mm x 4.6 mm,80 Å,80,25,25,0.5 ml/min,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","A completely different situation is observed on the Spherisorb S5P column in 90 wt % methanol–water: in such a mobile phase PPG is eluted at the CAP, while PEG is eluted in LAC mode (see Fig. 9)!",Used to analyze EO-PO block copolymers where PO is critical and EO is adsorbing.
232,2009,Poly(ethylene glycol),PEG,Cl,"Methanol, Water","90, 10",,Silica-based octadecyl phase,,Silica,,Reverse,,100,25,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD",[232] Malik2009.pdf,10.1007/s00216-008-2590-y,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl Franzens University, 8010 Graz, Austria",2009,Critical adsorption point (CAP) for EO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,PEG,Poly(ethylene glycol),Ethylene oxide (EO),Ethylene oxide (EO),Linear,linear,PEG,EO,linear,,Cl,"[""Methanol"", ""Water""]","[""Methanol"", ""Water""]","[null, null]",2,90,wt%,"[90.0, 10.0]",w/w,,,Silica-based octadecyl phase,,Silica-based octadecyl phase,,Prodigy ODS3,,,250 mm x 4.6 mm,100 Å,100,25,25,0.5 ml/min,0.5,,"DDS70 density detector, RI 2414 or SEDEX 45 ELSD","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The combination of critical conditions and LAC can also be utilized in the analysis of EO–CL block copolymers: on the Prodigy column a CAP for EO exists at 90 wt% methanol.,Used to analyze EO-CL block copolymers where EO is critical and CL is adsorbing.
232,2009,Poly(ethylene glycol),,Cl,"Acetone, Water","78, 22",,diol,,,,,,100,25,0.5,,DDS70 density detector,[232] Malik2009.pdf,10.1007/s00216-008-2590-y,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl Franzens University, 8010 Graz, Austria",2009,critical adsorption point,explicit,"{""qwen"": ""missed"", ""mistral"": ""explicit""}",missed,explicit,poly(ethylene glycol),Poly(ethylene glycol),EO,EO,linear,linear,poly(ethylene glycol),EO,linear,,Cl,"[""acetone"", ""water""]","[""Acetone"", ""Water""]","[null, null]",2,78,wt%,"[78.0, 22.0]",w/w,,,diol,,diol,,Nucleosil 100-5 OH,,,250 mm × 4.6 mm,100 Å,100,25,25,0.5 ml/min,0.5,,DDS70 density detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","At the transition point of these two mechanisms, which is often termed the 'critical adsorption point' (CAP), there is a special mobile-phase composition (at a given temperature), where the interaction parameter has a value of zero: under such conditions, the polymer is eluted—independent of its molar mass—at the void volume of the column. In other words, at the CAP the polymer chain becomes chromatographically invisible [2–5]. This situation can be utilized in the characterization of functional oligomers, block and graft copolymers, as it allows the separation of polymer homologues according to other structural units, such as their end groups or other blocks [3, 6–11] (M.I. Malik, B. Trathnigg, and C.O. Kappe, unpublished results). Especially interesting are amphiphilic polymers, which contain a hydrophilic block [such as poly(ethylene oxide)] linked to a hydrophobic block [such as poly(propylene oxide), a higher poly(alkylene oxide), and polycaprolactone, PCL]. These materials have applications in many fields, such as nonionic surfactants and emulsifiers, in which the hydrophilic (water-soluble) polyoxyethylene chain is linked to lipophilic (oil-soluble) groups or blocks. Hence, these products are surface-active: they arrange themselves at the surface of water or at the oil–water interface and thus lower the surface tension. Amphiphilic block copolymers of ε-caprolactone and ethylene oxide (EO) have special properties [12]. As the poly (ethylene glycol) (PEG) block minimizes platelet deposition onto surfaces exposed to the bloodstream [13], they can be used to produce blood-contacting implant devices having low protein adsorption, membranes for separation processes, biosensors, chromatographic supports, contact lenses, and in blood and protein storage applications, etc. [14]. These polymers may contain various impurities (such as the homopolymers, residual monomer, and initiator), which may influence the properties of the products. Consequently, there is a strong need for reliable characterization methods. Owing to the complex nature of amphiphilic polymers, this will also require complex techniques, such as two-dimensional liquid chromatography. There have also been attempts to apply pyrolysis gas chromatography [15, 16] and mass spectroscopy [mainly matrix-assisted laser desorption/ionization time of flight (MALDI-TOF) mass spectroscopy] [17–19]. Pyrolysis gas chromatography is very useful in the analysis of cross-linked polymers, but it cannot be considered as a standard technique in the characterization of block copolymers: since 2000, there have been very few papers in the literature. MALDI-TOF mass spectroscopy is problematic in the analysis of highly polydisperse samples; it works very well, however, with samples with a narrow molar mass distribution. When applied to fractions from a chromatographic separation, it yields highly valuable information. In liquid chromatography, one may use different separation modes, which separate species according to different criteria (corresponding to the interaction parameters of the components), and combine them to achieve a two-dimensional separation. In the case of block copolymers, the interaction parameters cA and cB of the individual structural units (A and B) will typically have different values. If both cA and cB are negative, the overall molar mass distribution can be determined by SEC. In SEC, retention decreases with increasing molar mass and shows only a minor influence of chemical composition. It must be mentioned that the SEC calibration functions of different polymers can be considerably different (as may be the interaction parameters). In this case the chemical composition along the peak is required, which can be obtained from dual detection [20–22]. If both cA and cB are positive, a reasonable separation by LAC (with retention increasing exponentially with the number of repeat units) can only be achieved if one block is monodisperse [6, 23]. If, however, both blocks are polydisperse and cA ≠ cB, several superimposed series of peaks will be obtained, and these cannot be resolved. If one of the interaction parameters for one repeat unit is positive and the other one is negative, each polymer homologue is eluted in SEC order, but far behind the void volume of the column. This mechanism, which is called 'liquid exclusion–adsorption chromatography' (LEAC) [24, 25], can be utilized in the separation of monofunctional oligomers with a monodisperse adsorbing block or end group. In the analysis of block copolymers, LEAC may only be applied as the second dimension in two-dimensional chromatography. If one of the interaction parameters (cA or cB) is zero, the corresponding block becomes 'chromatographically invisible' and separation according to the other block can be achieved (liquid chromatography under critical conditions, LCCC). Depending on the interaction parameter of the other repeat unit, this separation may follow a SEC [7, 26–28] (situation A) or a LAC [6, 9, 29, 30] mechanism (situation B). There could be different options, as has been discussed previously [31, 32] (see Table 1). On reversed-phase columns, there may be critical conditions for the hydrophilic block in a mobile phase with rather high polarity. In such a mobile phase the hydrophobic block will be eluted in LAC mode. On the other hand, critical conditions may also be found for the hydrophobic block in a rather nonpolar mobile phase. In this case, the hydrophilic block will be eluted in SEC mode. On normal-phase columns, a CAP for the hydrophilic block may be found in a polar mobile phase, in which the hydrophobic block will be eluted in SEC mode. In a mobile phase with low polarity, a CAP may exist for the hydrophobic block: in this case the hydrophilic block will be eluted in LAC mode. In this study these possible situations were evaluated with respect of advantages and limitations. As practical examples — we chose various block copolymers based on epoxide EO, propylene oxide (PO), butene oxide (BO), hexene oxide — (HO), lactone (caprolactone, CL) repeat units or polymers with terminal alkyl groups. These samples were analyzed on various columns of different nature and in different mobile phases.","Used to analyze PPG, PCL, and block copolymers where EO is critical."
